feature,F_statistic,p_value
mel_112_mean_segstd,2.7878028292641104,0.10123437994109465
spectral_rolloff_std_segstd,2.7780990859240813,0.10181457328602835
tempo_bpm_segstd,2.7729294392084554,0.10212519738476783
chroma_03_std_segmean,2.7633259673342385,0.10270506913142638
mfcc_delta_06_std_segmean,2.7585296514903965,0.10299606545231477
mfcc_delta_08_std_segstd,2.7477567100830615,0.10365306055545483
spectral_bandwidth_std_segstd,2.72107092807667,0.10530095060743055
mfcc_31_mean_segmean,2.6803926212938998,0.10787008755071889
mfcc_39_std_segstd,2.680041530485396,0.10789256751673405
mfcc_09_median_segmean,2.6711640654932816,0.1084627451002298
chroma_11_median_segmean,2.6417329367560587,0.11037754557402248
mfcc_39_max_segstd,2.6370520283780787,0.11068559830952207
mel_102_mean_segmean,2.6307076077529126,0.11110468216022173
mfcc_14_std_segmean,2.6266755056196147,0.11137195825001056
mfcc_16_median_segmean,2.6265690897385694,0.11137902209744366
mfcc_delta_10_std_segstd,2.626142594447449,0.11140733779136253
mfcc_12_mean_segstd,2.623429332097704,0.11158766656457063
chroma_04_max_segmean,2.614420655253937,0.11218877642524373
mfcc_34_min_segstd,2.5867951143535826,0.11405511408524831
mfcc_01_mean_segstd,2.5734397475601187,0.11496998984932427
mel_123_mean_segstd,2.5634402334455006,0.11566043510628271
spectral_bandwidth_mean_segmean,2.539395228743783,0.11734005319932217
mfcc_07_median_segstd,2.519419290045079,0.11875653796788176
spectral_flatness_std_segstd,2.518146617465316,0.11884743956586853
spectral_rolloff_mean_segmean,2.5171149799544033,0.11892118315248512
mfcc_02_mean_segmean,2.4943241964588343,0.1205636758227583
mfcc_04_min_segmean,2.4729796337499463,0.12212541030092337
mel_124_mean_segstd,2.4704299886377883,0.12231349929920518
mfcc_38_max_segstd,2.4604950978439284,0.12304956121774256
mfcc_28_median_segmean,2.457239371254522,0.1232918716867751
mfcc_06_max_segstd,2.4386223678556846,0.12468796503355592
mfcc_delta_32_mean_segmean,2.436674007175423,0.12483511358510067
mfcc_14_max_segmean,2.3922123122837426,0.12824760905600743
mel_126_mean_segstd,2.3705043707116027,0.129952426196209
mfcc_delta_05_std_segstd,2.3596682771959205,0.13081313814799
mfcc_34_max_segstd,2.3534311025780856,0.1313115207668652
chroma_08_mean_segstd,2.347032469548092,0.13182506944321884
mfcc_32_min_segstd,2.3232117458932593,0.13375727098392257
mfcc_13_mean_segmean,2.3145832745433177,0.13446517414419426
mfcc_delta_07_mean_segstd,2.2976700989553183,0.13586531011799302
chroma_01_median_segstd,2.2693150245780496,0.13825046489451082
mel_027_mean_segmean,2.2633068464487947,0.13876202913757357
mfcc_10_median_segstd,2.2450231145251247,0.14033227003641713
tempo_bpm_segmean,2.2420241638189786,0.14059177770671594
rms_mean_segmean,2.2242098712241947,0.14214476777932966
mel_087_mean_segmean,2.2209171022315206,0.14243398516047642
mfcc_36_max_segstd,2.2208944356480824,0.14243597841444067
mel_100_mean_segstd,2.2050981759832955,0.14383294447941872
mfcc_delta_16_std_segstd,2.1993468568633228,0.14434550098897592
mel_111_mean_segstd,2.1922277921330844,0.14498288061777914
chroma_11_mean_segmean,2.1892503135226606,0.14525042410394942
mel_075_mean_segmean,2.1773755306626033,0.14632314349469044
mfcc_24_median_segstd,2.170507309398268,0.14694777914602417
mfcc_40_max_segmean,2.16374378898695,0.14756591509723674
mfcc_04_median_segstd,2.1590452471981254,0.1479971021745211
mfcc_03_std_segmean,2.137125584844035,0.15002809831945352
mfcc_38_std_segstd,2.132402360833027,0.15046996242173427
